Day,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
34,1,54.1247,0.0363,48.053,49.554,50.429,50.893,51.607,52.088,52.8,54.125,55.45,56.161,56.643,57.356,57.82,58.695,60.196
35,1,54.2454,0.03627,48.165,49.668,50.545,51.009,51.724,52.206,52.918,54.245,55.572,56.285,56.767,57.482,57.946,58.822,60.325
36,1,54.3651,0.03625,48.275,49.78,50.659,51.124,51.84,52.323,53.036,54.365,55.694,56.408,56.891,57.607,58.072,58.95,60.455
37,1,54.4839,0.03622,48.386,49.893,50.772,51.238,51.955,52.439,53.153,54.484,55.815,56.529,57.013,57.73,58.195,59.075,60.582
38,1,54.6018,0.03619,48.495,50.005,50.885,51.352,52.069,52.554,53.269,54.602,55.935,56.65,57.134,57.852,58.318,59.199,60.708
39,1,54.7187,0.03617,48.603,50.114,50.996,51.463,52.182,52.667,53.384,54.719,56.054,56.77,57.255,57.974,58.441,59.323,60.835
40,1,54.8348,0.03614,48.711,50.225,51.108,51.575,52.295,52.781,53.498,54.835,56.171,56.889,57.374,58.094,58.562,59.445,60.959
41,1,54.9499,0.03612,48.816,50.333,51.217,51.685,52.406,52.893,53.611,54.95,56.289,57.007,57.494,58.215,58.683,59.567,61.083
42,1,55.0642,0.03609,48.923,50.441,51.327,51.795,52.517,53.005,53.724,55.064,56.405,57.124,57.611,58.333,58.802,59.687,61.205
43,1,55.1777,0.03607,49.027,50.548,51.434,51.904,52.627,53.115,53.835,55.178,56.52,57.24,57.728,58.451,58.921,59.808,61.328
44,1,55.2903,0.03604,49.133,50.655,51.543,52.013,52.737,53.225,53.946,55.29,56.634,57.356,57.844,58.568,59.038,59.926,61.448
45,1,55.4021,0.03602,49.235,50.76,51.649,52.12,52.845,53.334,54.056,55.402,56.748,57.47,57.96,58.685,59.155,60.045,61.569
46,1,55.513,0.036,49.337,50.864,51.754,52.226,52.952,53.442,54.165,55.513,56.861,57.584,58.074,58.8,59.272,60.162,61.689
47,1,55.623,0.03597,49.44,50.969,51.86,52.332,53.059,53.549,54.274,55.623,56.972,57.697,58.187,58.914,59.386,60.277,61.806
48,1,55.7322,0.03595,49.541,51.071,51.964,52.437,53.165,53.656,54.381,55.732,57.084,57.809,58.3,59.028,59.501,60.393,61.924
49,1,55.8406,0.03593,49.641,51.173,52.067,52.54,53.269,53.761,54.487,55.841,57.194,57.92,58.412,59.141,59.614,60.508,62.041
50,1,55.9482,0.03591,49.74,51.274,52.169,52.644,53.373,53.866,54.593,55.948,57.303,58.03,58.523,59.253,59.727,60.622,62.157
51,1,56.0549,0.03588,49.84,51.376,52.272,52.747,53.477,53.97,54.698,56.055,57.411,58.139,58.632,59.363,59.838,60.734,62.27
52,1,56.1609,0.03586,49.937,51.476,52.373,52.848,53.58,54.074,54.803,56.161,57.519,58.248,58.742,59.474,59.949,60.846,62.384
53,1,56.266,0.03584,50.034,51.575,52.473,52.949,53.682,54.176,54.906,56.266,57.626,58.356,58.85,59.583,60.059,60.957,62.498
54,1,56.3704,0.03582,50.131,51.673,52.573,53.049,53.783,54.278,55.008,56.37,57.732,58.463,58.958,59.692,60.168,61.068,62.61
55,1,56.4739,0.0358,50.226,51.771,52.671,53.148,53.883,54.378,55.11,56.474,57.838,58.569,59.065,59.799,60.276,61.177,62.722
56,1,56.5767,0.03578,50.321,51.867,52.769,53.247,53.982,54.479,55.211,56.577,57.942,58.675,59.171,59.906,60.384,61.286,62.832
57,1,56.6788,0.03576,50.415,51.964,52.867,53.345,54.081,54.578,55.312,56.679,58.046,58.779,59.276,60.013,60.491,61.394,62.942
58,1,56.78,0.03574,50.509,52.059,52.963,53.442,54.179,54.677,55.411,56.78,58.149,58.883,59.381,60.118,60.597,61.501,63.051
59,1,56.8806,0.03572,50.602,52.154,53.059,53.539,54.277,54.775,55.51,56.881,58.251,58.986,59.484,60.223,60.702,61.607,63.159
60,1,56.9805,0.0357,50.694,52.248,53.155,53.635,54.374,54.872,55.608,56.981,58.353,59.089,59.587,60.326,60.806,61.713,63.267
61,1,57.0796,0.03568,50.786,52.342,53.249,53.73,54.47,54.969,55.706,57.08,58.453,59.19,59.69,60.43,60.91,61.817,63.373
62,1,57.1782,0.03566,50.877,52.435,53.343,53.824,54.565,55.065,55.803,57.178,58.553,59.291,59.791,60.532,61.013,61.922,63.479
63,1,57.2761,0.03564,50.968,52.527,53.437,53.918,54.66,55.16,55.899,57.276,58.653,59.392,59.892,60.634,61.115,62.025,63.584
64,1,57.3733,0.03562,51.058,52.619,53.53,54.012,54.754,55.255,55.995,57.373,58.752,59.491,59.992,60.735,61.217,62.128,63.689
65,1,57.4699,0.03561,51.146,52.709,53.621,54.104,54.847,55.349,56.09,57.47,58.85,59.591,60.093,60.836,61.319,62.231,63.794
66,1,57.5659,0.03559,51.235,52.8,53.713,54.196,54.94,55.442,56.184,57.566,58.948,59.689,60.192,60.936,61.419,62.332,63.897
67,1,57.6613,0.03557,51.323,52.89,53.804,54.288,55.033,55.536,56.278,57.661,59.045,59.787,60.29,61.035,61.519,62.433,63.999
68,1,57.756,0.03555,51.411,52.979,53.894,54.379,55.125,55.628,56.371,57.756,59.141,59.884,60.387,61.133,61.618,62.533,64.101
69,1,57.8501,0.03553,51.498,53.068,53.984,54.469,55.216,55.72,56.464,57.85,59.236,59.98,60.484,61.231,61.716,62.632,64.202
70,1,57.9436,0.03552,51.583,53.156,54.073,54.558,55.306,55.81,56.555,57.944,59.332,60.077,60.581,61.329,61.815,62.732,64.304
71,1,58.0365,0.0355,51.67,53.244,54.162,54.648,55.396,55.901,56.647,58.037,59.426,60.172,60.677,61.425,61.911,62.829,64.403
72,1,58.1288,0.03548,51.755,53.331,54.25,54.736,55.486,55.991,56.738,58.129,59.52,60.266,60.772,61.521,62.008,62.927,64.502
73,1,58.2206,0.03547,51.839,53.416,54.337,54.824,55.574,56.08,56.828,58.221,59.613,60.361,60.867,61.617,62.105,63.025,64.602
74,1,58.3117,0.03545,51.924,53.503,54.424,54.912,55.663,56.169,56.917,58.312,59.706,60.454,60.961,61.712,62.2,63.121,64.7
75,1,58.4022,0.03543,52.008,53.589,54.51,54.999,55.75,56.258,57.007,58.402,59.798,60.547,61.054,61.806,62.294,63.216,64.796
76,1,58.4922,0.03542,52.09,53.672,54.596,55.084,55.837,56.345,57.095,58.492,59.89,60.639,61.147,61.9,62.389,63.312,64.895
77,1,58.5816,0.0354,52.173,53.757,54.681,55.171,55.924,56.432,57.183,58.582,59.98,60.731,61.239,61.993,62.482,63.406,64.99
78,1,58.6705,0.03539,52.254,53.84,54.765,55.255,56.01,56.519,57.27,58.671,60.071,60.822,61.331,62.086,62.576,63.501,65.087
79,1,58.7588,0.03537,52.336,53.924,54.85,55.34,56.095,56.605,57.357,58.759,60.161,60.913,61.422,62.177,62.668,63.594,65.181
80,1,58.8465,0.03536,52.416,54.006,54.933,55.424,56.18,56.69,57.443,58.847,60.25,61.003,61.513,62.269,62.76,63.687,65.277
81,1,58.9337,0.03534,52.498,54.089,55.017,55.508,56.265,56.775,57.529,58.934,60.338,61.092,61.603,62.359,62.851,63.779,65.37
82,1,59.0204,0.03533,52.577,54.17,55.099,55.591,56.348,56.859,57.614,59.02,60.427,61.182,61.693,62.45,62.942,63.871,65.464
83,1,59.1066,0.03531,52.657,54.251,55.181,55.674,56.432,56.944,57.699,59.107,60.514,61.27,61.781,62.539,63.032,63.962,65.556
84,1,59.1922,0.0353,52.735,54.331,55.262,55.755,56.514,57.027,57.783,59.192,60.602,61.358,61.87,62.629,63.122,64.053,65.649
85,1,59.2773,0.03528,52.815,54.412,55.344,55.837,56.597,57.11,57.867,59.277,60.688,61.445,61.957,62.717,63.211,64.142,65.74
86,1,59.3619,0.03527,52.892,54.491,55.424,55.918,56.679,57.192,57.95,59.362,60.774,61.532,62.045,62.806,63.3,64.233,65.832
87,1,59.4459,0.03526,52.969,54.57,55.504,55.998,56.76,57.273,58.032,59.446,60.86,61.618,62.132,62.894,63.388,64.322,65.923
88,1,59.5295,0.03524,53.047,54.649,55.584,56.079,56.841,57.355,58.115,59.53,60.944,61.704,62.218,62.98,63.475,64.41,66.012
89,1,59.6126,0.03523,53.123,54.727,55.663,56.158,56.921,57.436,58.196,59.613,61.029,61.789,62.304,63.067,63.563,64.498,66.103
90,1,59.6952,0.03521,53.2,54.806,55.742,56.238,57.002,57.517,58.278,59.695,61.113,61.874,62.389,63.152,63.648,64.585,66.19
91,1,59.7773,0.0352,53.275,54.882,55.82,56.316,57.081,57.596,58.358,59.777,61.197,61.958,62.474,63.238,63.735,64.672,66.28
92,1,59.8589,0.03519,53.35,54.959,55.897,56.394,57.159,57.676,58.438,59.859,61.28,62.042,62.558,63.324,63.821,64.759,66.368
93,1,59.9401,0.03517,53.426,55.036,55.975,56.473,57.238,57.755,58.518,59.94,61.362,62.125,62.642,63.408,63.905,64.844,66.455
94,1,60.0209,0.03516,53.499,55.112,56.052,56.55,57.316,57.834,58.598,60.021,61.444,62.208,62.725,63.492,63.99,64.93,66.542
95,1,60.1011,0.03515,53.573,55.187,56.128,56.626,57.394,57.912,58.676,60.101,61.526,62.291,62.808,63.576,64.074,65.016,66.629
96,1,60.181,0.03514,53.646,55.261,56.204,56.703,57.471,57.989,58.755,60.181,61.607,62.373,62.891,63.659,64.158,65.101,66.716
97,1,60.2603,0.03512,53.72,55.337,56.28,56.779,57.548,58.067,58.833,60.26,61.688,62.454,62.973,63.741,64.241,65.184,66.8
98,1,60.3393,0.03511,53.793,55.411,56.355,56.855,57.624,58.144,58.91,60.339,61.768,62.535,63.054,63.824,64.324,65.268,66.886
99,1,60.4178,0.0351,53.864,55.484,56.429,56.93,57.7,58.22,58.987,60.418,61.848,62.616,63.136,63.906,64.406,65.351,66.971
100,1,60.4958,0.03509,53.936,55.557,56.503,57.004,57.775,58.296,59.064,60.496,61.928,62.696,63.216,63.987,64.488,65.434,67.056
101,1,60.5734,0.03508,54.007,55.63,56.577,57.078,57.85,58.371,59.14,60.573,62.007,62.776,63.297,64.069,64.57,65.517,67.14
102,1,60.6506,0.03506,54.079,55.704,56.651,57.153,57.925,58.447,59.216,60.651,62.085,62.854,63.376,64.148,64.65,65.597,67.222
103,1,60.7273,0.03505,54.15,55.776,56.724,57.226,58.0,58.521,59.292,60.727,62.163,62.933,63.455,64.228,64.731,65.679,67.305
104,1,60.8036,0.03504,54.22,55.847,56.796,57.299,58.073,58.595,59.367,60.804,62.241,63.012,63.534,64.308,64.811,65.76,67.388
105,1,60.8795,0.03503,54.289,55.918,56.869,57.372,58.146,58.669,59.441,60.88,62.318,63.09,63.613,64.387,64.89,65.841,67.47
106,1,60.955,0.03502,54.358,55.989,56.94,57.444,58.219,58.743,59.515,60.955,62.395,63.167,63.691,64.466,64.97,65.921,67.552
107,1,61.0301,0.03501,54.427,56.059,57.011,57.516,58.292,58.816,59.589,61.03,62.471,63.245,63.768,64.545,65.049,66.001,67.633
108,1,61.1047,0.035,54.496,56.129,57.082,57.587,58.364,58.888,59.662,61.105,62.547,63.321,63.846,64.622,65.127,66.08,67.714
109,1,61.1789,0.03499,54.564,56.199,57.153,57.658,58.436,58.96,59.735,61.179,62.623,63.398,63.922,64.7,65.205,66.159,67.794
110,1,61.2527,0.03497,54.633,56.27,57.224,57.729,58.508,59.033,59.808,61.253,62.697,63.473,63.998,64.776,65.281,66.236,67.872
111,1,61.3261,0.03496,54.701,56.339,57.294,57.8,58.579,59.104,59.88,61.326,62.772,63.548,64.074,64.853,65.358,66.314,67.951
112,1,61.3991,0.03495,54.768,56.407,57.363,57.869,58.649,59.175,59.952,61.399,62.846,63.623,64.149,64.929,65.435,66.391,68.03
113,1,61.4717,0.03494,54.834,56.475,57.432,57.939,58.719,59.246,60.023,61.472,62.92,63.698,64.224,65.005,65.511,66.468,68.109
114,1,61.5439,0.03493,54.901,56.543,57.501,58.008,58.789,59.316,60.094,61.544,62.994,63.772,64.299,65.08,65.587,66.545,68.187
115,1,61.6156,0.03492,54.967,56.61,57.569,58.077,58.858,59.386,60.164,61.616,63.067,63.846,64.373,65.155,65.662,66.621,68.265
116,1,61.687,0.03491,55.032,56.677,57.637,58.145,58.927,59.455,60.234,61.687,63.14,63.919,64.447,65.229,65.737,66.697,68.342
117,1,61.758,0.0349,55.097,56.744,57.704,58.213,58.996,59.524,60.304,61.758,63.212,63.992,64.52,65.303,65.812,66.772,68.419
118,1,61.8286,0.03489,55.162,56.81,57.771,58.28,59.064,59.593,60.374,61.829,63.284,64.064,64.593,65.377,65.886,66.847,68.495
119,1,61.8988,0.03488,55.227,56.876,57.838,58.348,59.132,59.661,60.443,61.899,63.355,64.136,64.666,65.45,65.959,66.921,68.571
120,1,61.9686,0.03487,55.291,56.942,57.904,58.414,59.199,59.729,60.511,61.969,63.426,64.208,64.738,65.523,66.033,66.995,68.646
121,1,62.0381,0.03487,55.353,57.006,57.969,58.48,59.266,59.796,60.579,62.038,63.497,64.28,64.81,65.596,66.107,67.071,68.723
122,1,62.1071,0.03486,55.417,57.07,58.035,58.546,59.332,59.863,60.647,62.107,63.567,64.351,64.882,65.668,66.179,67.144,68.798
123,1,62.1758,0.03485,55.48,57.135,58.1,58.612,59.399,59.93,60.714,62.176,63.637,64.422,64.953,65.74,66.251,67.217,68.872
124,1,62.2441,0.03484,55.543,57.199,58.165,58.677,59.465,59.997,60.781,62.244,63.707,64.492,65.023,65.811,66.323,67.289,68.946
125,1,62.312,0.03483,55.605,57.263,58.23,58.742,59.531,60.063,60.848,62.312,63.776,64.561,65.093,65.882,66.394,67.361,69.019
126,1,62.3795,0.03482,55.667,57.327,58.294,58.807,59.596,60.128,60.914,62.38,63.845,64.631,65.163,65.952,66.465,67.432,69.092
127,1,62.4467,0.03481,55.729,57.39,58.358,58.871,59.661,60.194,60.981,62.447,63.913,64.7,65.232,66.022,66.535,67.504,69.164
128,1,62.5135,0.0348,55.791,57.453,58.422,58.935,59.726,60.259,61.046,62.514,63.981,64.768,65.301,66.092,66.605,67.574,69.236
129,1,62.58,0.03479,55.852,57.515,58.485,58.999,59.79,60.324,61.112,62.58,64.048,64.836,65.37,66.161,66.675,67.645,69.308
130,1,62.6461,0.03479,55.911,57.576,58.547,59.061,59.853,60.387,61.176,62.646,64.116,64.905,65.439,66.231,66.745,67.716,69.381
131,1,62.7118,0.03478,55.972,57.638,58.61,59.124,59.917,60.451,61.241,62.712,64.183,64.972,65.507,66.299,66.814,67.786,69.452
132,1,62.7772,0.03477,56.032,57.699,58.672,59.187,59.98,60.515,61.305,62.777,64.249,65.039,65.575,66.368,66.883,67.855,69.522
133,1,62.8423,0.03476,56.092,57.761,58.734,59.249,60.043,60.578,61.369,62.842,64.316,65.106,65.642,66.435,66.951,67.924,69.593
134,1,62.907,0.03475,56.152,57.822,58.796,59.311,60.106,60.641,61.433,62.907,64.381,65.173,65.708,66.503,67.018,67.992,69.662
135,1,62.9714,0.03475,56.209,57.881,58.856,59.372,60.167,60.703,61.495,62.971,64.447,65.239,65.776,66.571,67.087,68.062,69.734
136,1,63.0354,0.03474,56.268,57.941,58.917,59.433,60.229,60.766,61.558,63.035,64.512,65.305,65.842,66.637,67.154,68.13,69.803
137,1,63.0991,0.03473,56.327,58.001,58.977,59.495,60.291,60.828,61.621,63.099,64.577,65.37,65.908,66.704,67.221,68.197,69.871
138,1,63.1626,0.03472,56.386,58.061,59.038,59.555,60.352,60.89,61.683,63.163,64.642,65.436,65.973,66.77,67.287,68.264,69.939
139,1,63.2257,0.03471,56.444,58.12,59.098,59.616,60.413,60.951,61.745,63.226,64.706,65.5,66.038,66.835,67.353,68.331,70.007
140,1,63.2884,0.03471,56.5,58.178,59.157,59.675,60.473,61.012,61.807,63.288,64.77,65.565,66.104,66.902,67.42,68.399,70.077
141,1,63.3509,0.0347,56.558,58.237,59.216,59.735,60.534,61.073,61.868,63.351,64.834,65.629,66.168,66.967,67.485,68.465,70.144
142,1,63.4131,0.03469,56.615,58.296,59.276,59.795,60.594,61.133,61.929,63.413,64.897,65.693,66.232,67.031,67.55,68.531,70.211
143,1,63.475,0.03469,56.67,58.353,59.334,59.853,60.653,61.193,61.99,63.475,64.96,65.757,66.297,67.097,67.616,68.597,70.28
144,1,63.5365,0.03468,56.727,58.411,59.392,59.912,60.713,61.253,62.05,63.537,65.023,65.82,66.36,67.161,67.681,68.662,70.346
145,1,63.5978,0.03467,56.784,58.468,59.451,59.971,60.772,61.313,62.111,63.598,65.085,65.883,66.424,67.225,67.745,68.727,70.412
146,1,63.6588,0.03467,56.839,58.524,59.508,60.029,60.83,61.371,62.17,63.659,65.147,65.946,66.487,67.289,67.81,68.793,70.479
147,1,63.7196,0.03466,56.895,58.582,59.566,60.087,60.889,61.431,62.23,63.72,65.209,66.009,66.55,67.352,67.873,68.857,70.544
148,1,63.78,0.03465,56.951,58.639,59.623,60.145,60.948,61.49,62.289,63.78,65.271,66.07,66.612,67.415,67.937,68.921,70.609
149,1,63.8402,0.03465,57.004,58.694,59.68,60.202,61.005,61.548,62.348,63.84,65.332,66.133,66.675,67.479,68.001,68.986,70.676
150,1,63.9,0.03464,57.06,58.751,59.737,60.259,61.063,61.606,62.407,63.9,65.393,66.194,66.737,67.541,68.063,69.049,70.74
151,1,63.9597,0.03463,57.115,58.807,59.794,60.316,61.121,61.664,62.466,63.96,65.454,66.255,66.798,67.603,68.126,69.112,70.804
152,1,64.019,0.03463,57.168,58.862,59.849,60.372,61.178,61.721,62.524,64.019,65.514,66.317,66.86,67.666,68.189,69.176,70.87
153,1,64.0781,0.03462,57.223,58.917,59.906,60.429,61.235,61.779,62.582,64.078,65.574,66.377,66.921,67.727,68.25,69.239,70.933
154,1,64.137,0.03461,57.277,58.973,59.962,60.486,61.292,61.836,62.64,64.137,65.634,66.438,66.982,67.788,68.312,69.301,70.997
155,1,64.1956,0.03461,57.33,59.027,60.017,60.541,61.348,61.893,62.697,64.196,65.694,66.498,67.043,67.85,68.374,69.364,71.062
156,1,64.2539,0.0346,57.384,59.082,60.073,60.597,61.405,61.95,62.754,64.254,65.753,66.558,67.103,67.911,68.435,69.426,71.124
157,1,64.312,0.0346,57.436,59.135,60.127,60.652,61.46,62.006,62.811,64.312,65.813,66.618,67.164,67.972,68.497,69.489,71.188
158,1,64.3699,0.03459,57.489,59.19,60.182,60.708,61.516,62.062,62.868,64.37,65.872,66.678,67.223,68.032,68.558,69.55,71.25
159,1,64.4276,0.03459,57.541,59.243,60.236,60.762,61.572,62.118,62.924,64.428,65.931,66.737,67.284,68.093,68.619,69.612,71.314
160,1,64.485,0.03458,57.594,59.297,60.291,60.817,61.627,62.174,62.981,64.485,65.989,66.796,67.343,68.153,68.679,69.673,71.376
161,1,64.5422,0.03457,57.647,59.352,60.346,60.872,61.683,62.23,63.037,64.542,66.047,66.855,67.402,68.212,68.739,69.733,71.437
162,1,64.5991,0.03457,57.698,59.404,60.399,60.926,61.737,62.285,63.093,64.599,66.105,66.914,67.461,68.272,68.799,69.794,71.5
163,1,64.6559,0.03456,57.751,59.458,60.453,60.98,61.792,62.34,63.149,64.656,66.163,66.972,67.52,68.331,68.859,69.854,71.561
164,1,64.7124,0.03456,57.801,59.51,60.506,61.034,61.846,62.394,63.204,64.712,66.221,67.03,67.579,68.391,68.919,69.915,71.624
165,1,64.7688,0.03455,57.854,59.563,60.56,61.088,61.901,62.45,63.259,64.769,66.278,67.088,67.637,68.45,68.978,69.975,71.684
166,1,64.8249,0.03455,57.904,59.615,60.612,61.141,61.955,62.504,63.314,64.825,66.336,67.146,67.695,68.509,69.037,70.035,71.746
167,1,64.8808,0.03454,57.956,59.667,60.666,61.195,62.009,62.558,63.369,64.881,66.392,67.203,67.753,68.567,69.096,70.094,71.806
168,1,64.9366,0.03454,58.005,59.719,60.718,61.247,62.062,62.612,63.424,64.937,66.449,67.261,67.811,68.626,69.155,70.154,71.868
169,1,64.9921,0.03453,58.057,59.771,60.771,61.301,62.116,62.666,63.478,64.992,66.506,67.318,67.868,68.683,69.213,70.213,71.927
170,1,65.0474,0.03453,58.106,59.822,60.823,61.353,62.169,62.719,63.532,65.047,66.562,67.375,67.926,68.742,69.272,70.273,71.988
171,1,65.1026,0.03453,58.156,59.873,60.875,61.405,62.222,62.773,63.586,65.103,66.619,67.432,67.984,68.8,69.331,70.332,72.049
172,1,65.1576,0.03452,58.207,59.925,60.927,61.458,62.275,62.826,63.641,65.158,66.675,67.489,68.04,68.857,69.388,70.39,72.108
173,1,65.2123,0.03452,58.256,59.975,60.978,61.51,62.327,62.879,63.694,65.212,66.731,67.545,68.097,68.915,69.446,70.449,72.169
174,1,65.267,0.03451,58.307,60.027,61.031,61.562,62.38,62.933,63.748,65.267,66.786,67.601,68.154,68.972,69.503,70.507,72.227
175,1,65.3214,0.03451,58.355,60.077,61.082,61.614,62.432,62.985,63.801,65.321,66.842,67.658,68.21,69.029,69.561,70.566,72.288
176,1,65.3757,0.0345,58.406,60.129,61.134,61.666,62.485,63.038,63.854,65.376,66.897,67.713,68.266,69.086,69.618,70.623,72.346
177,1,65.4298,0.0345,58.454,60.178,61.184,61.717,62.537,63.09,63.907,65.43,66.952,67.769,68.323,69.143,69.675,70.681,72.405
178,1,65.4837,0.0345,58.502,60.228,61.235,61.768,62.588,63.142,63.96,65.484,67.007,67.825,68.379,69.2,69.733,70.739,72.465
179,1,65.5375,0.03449,58.552,60.279,61.286,61.819,62.641,63.195,64.013,65.538,67.062,67.88,68.434,69.256,69.789,70.796,72.523
180,1,65.5911,0.03449,58.6,60.328,61.336,61.87,62.692,63.246,64.065,65.591,67.117,67.936,68.49,69.312,69.846,70.854,72.582
181,1,65.6445,0.03449,58.648,60.377,61.386,61.92,62.743,63.298,64.117,65.645,67.172,67.991,68.546,69.369,69.903,70.912,72.641
182,1,65.6978,0.03448,58.698,60.428,61.437,61.972,62.795,63.35,64.17,65.698,67.226,68.046,68.601,69.424,69.958,70.968,72.698
183,1,65.751,0.03448,58.745,60.477,61.487,62.022,62.846,63.401,64.222,65.751,67.28,68.101,68.656,69.48,70.015,71.025,72.757
184,1,65.804,0.03447,58.795,60.527,61.538,62.073,62.897,63.453,64.274,65.804,67.334,68.155,68.711,69.535,70.07,71.081,72.813
185,1,65.8568,0.03447,58.842,60.576,61.587,62.123,62.948,63.504,64.326,65.857,67.388,68.21,68.766,69.591,70.126,71.138,72.872
186,1,65.9095,0.03447,58.889,60.624,61.637,62.173,62.998,63.555,64.377,65.91,67.442,68.264,68.821,69.646,70.182,71.195,72.93
187,1,65.9621,0.03447,58.936,60.673,61.686,62.222,63.048,63.606,64.429,65.962,67.496,68.319,68.876,69.702,70.238,71.252,72.988
